Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2002,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,NG,,3,,tusks,,T,U
2002,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,SD,,2,,tusks,,T,W
2002,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZW,,1,,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,ZW,,,4,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZW,,,3,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,ZW,,,6,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CL,ZW,,,6,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZW,,,1,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,ZW,,,22,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,ZW,,,55,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZW,,,16,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZW,,,4,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ID,ZW,,,3,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,ZW,,,6,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,ZW,,2,2,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,ZW,,,8,tusks,,T,W
2002,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,NL,ZW,,,2,tusks,,T,W
