un_region,subregionid,ccode,siteid,year,totcarc,illegal
Africa,FE,er,GSH,2002,3,0
Africa,FE,ke,SBR,2002,159,60
Africa,FE,ug,QEZ,2002,3,0
Africa,FS,mz,MAG,2002,1,0
Africa,FS,na,ZBZ,2002,1,0
Africa,FS,na,ETO,2002,24,0
Africa,FS,za,KRU,2002,1,0
Africa,FS,zm,SLW,2002,4,1
Africa,FS,zw,CHE,2002,19,7
Africa,FS,zw,NYA,2002,3,2
Africa,FW,bf,NAZ,2002,1,0
Africa,FW,bf,WBF,2002,1,0
Africa,FW,bj,PDJ,2002,1,0
Africa,FW,bj,WBJ,2002,1,0
Africa,FW,gh,KAK,2002,2,1
Africa,FW,gh,MOL,2002,1,0
Africa,FW,ml,GOU,2002,3,0
Africa,FW,ne,WNE,2002,1,1
Africa,FW,ng,YKR,2002,6,0
Asia,SE,cn,XBN,2002,3,3
Asia,SE,th,SKP,2002,1,0
Africa,FC,cd,GAR,2003,114,110
Africa,FC,cd,OKP,2003,20,20
Africa,FC,cd,SAL,2003,2,0
Africa,FC,cf,BGS,2003,3,3
Africa,FC,cf,SGB,2003,10,1
Africa,FC,cg,NDK,2003,8,5
Africa,FC,cg,ODZ,2003,38,2
Africa,FC,cm,BBK,2003,19,13
Africa,FC,cm,WAZ,2003,3,1
Africa,FC,ga,LOP,2003,7,4
Africa,FC,ga,MKB,2003,11,8
Africa,FC,td,ZAK,2003,34,22
Africa,FE,er,GSH,2003,3,1
Africa,FE,ke,EGK,2003,7,6
Africa,FE,ke,SBR,2003,195,36
Africa,FE,ke,TSV,2003,82,18
Africa,FE,tz,KTV,2003,12,9
Africa,FE,tz,RHR,2003,10,1
Africa,FE,tz,SEL,2003,9,2
Africa,FE,tz,TGR,2003,7,1
Africa,FE,ug,MCH,2003,10,10
Africa,FE,ug,QEZ,2003,1,1
Africa,FS,bw,CHO,2003,59,0
Africa,FS,mz,MAG,2003,3,1
Africa,FS,na,ZBZ,2003,8,2
Africa,FS,na,ETO,2003,18,0
Africa,FS,za,KRU,2003,2,0
Africa,FS,zm,SLW,2003,8,5
Africa,FS,zw,CHE,2003,10,3
Africa,FS,zw,NYA,2003,7,2
Africa,FW,bj,PDJ,2003,2,1
Africa,FW,bj,WBJ,2003,1,0
Africa,FW,gh,KAK,2003,6,0
Africa,FW,gh,MOL,2003,2,1
Africa,FW,gn,ZIA,2003,1,1
Africa,FW,ml,GOU,2003,1,0
Africa,FW,ne,WNE,2003,4,1
Africa,FW,ng,YKR,2003,4,1
Africa,FW,sn,NKK,2003,1,0
Asia,SE,cn,XBN,2003,3,3
Asia,SE,id,WAY,2003,9,0
Asia,SE,la,NAK,2003,1,1
Asia,SE,th,SKP,2003,2,0
Asia,SS,in,CHR,2003,1,0
Asia,SS,in,EDO,2003,4,0
Asia,SS,in,GRO,2003,6,0
Africa,FC,cd,GAR,2004,197,176
Africa,FC,cd,OKP,2004,10,9
Africa,FC,cd,SAL,2004,56,36
Africa,FC,cf,BGS,2004,8,8
Africa,FC,cf,SGB,2004,1,0
Africa,FC,cg,NDK,2004,14,4
Africa,FC,cg,ODZ,2004,36,19
Africa,FC,cm,BBK,2004,7,5
Africa,FC,cm,WAZ,2004,2,1
Africa,FC,ga,LOP,2004,4,1
Africa,FC,ga,MKB,2004,13,12
Africa,FC,td,ZAK,2004,35,30
Africa,FE,er,GSH,2004,1,0
Africa,FE,ke,EGK,2004,7,5
Africa,FE,ke,SBR,2004,128,40
