Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Reported quantity,Term,Unit,Purpose,Source
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZW,,,38.5,38.5,tusks,kg,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZW,,,2,2,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BH,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZW,,,3,3,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,ZW,,,37,37,tusks,kg,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZW,,,26,26,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CO,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,,152,152,tusks,kg,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,,2,2,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,EG,ZW,,,7,7,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,ZW,,,126.8,126.8,tusks,kg,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,ZW,,,7,7,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ID,ZW,,,3,3,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,KW,ZW,,,7,7,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MC,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MO,ZW,,,1,1,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,ZW,,,69,69,tusks,kg,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,ZW,,,4,4,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,NA,ZW,,,2,2,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RO,ZW,,,7,7,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RU,ZW,,,5,5,tusks,tusks,T,W
1995,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SZ,ZW,,,1,1,tusks,tusks,T,W
