year,type_of_violence,conflict_new_id,conflict_name,dyad_name,side_a,side_b,latitude,longitude,geom_wkt,country,best_est,high_est,low_est
2002,1,287,Burundi:Government,Government of Burundi - CNDD-FDD,Government of Burundi,CNDD-FDD,-4.167389,29.229933,POINT(29.229933 -4.167389),DR Congo (Zaire),3,3,3
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,17.183197,21.58862,POINT(21.58862 17.183197),Chad,44,44,44
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,17.917,19.111,POINT(19.111 17.917),Chad,4,20,4
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,18,19,POINT(19 18),Chad,1,1,1
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,18,19,POINT(19 18),Chad,0,40,0
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,18.16667,22.16667,POINT(22.16667 18.16667),Chad,51,51,51
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,18.16667,22.16667,POINT(22.16667 18.16667),Chad,125,125,125
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,18.16667,22.16667,POINT(22.16667 18.16667),Chad,64,64,64
2002,1,288,Chad:Government,Government of Chad - MDJT,Government of Chad,MDJT,19.169167,20.461111,POINT(20.461111 19.169167),Chad,5,5,5
2002,1,314,Uganda:Government,Government of Uganda - ADF,Government of Uganda,ADF,0.124086,29.4175,POINT(29.4175 0.124086),DR Congo (Zaire),2,2,2
2002,1,314,Uganda:Government,Government of Uganda - ADF,Government of Uganda,ADF,0.65,29.883333,POINT(29.883333 0.65),DR Congo (Zaire),44,44,44
2002,1,314,Uganda:Government,Government of Uganda - ADF,Government of Uganda,ADF,1.02424,30.83141,POINT(30.83141 1.02424),Uganda,3,3,3
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.08333,32.58333,POINT(32.58333 2.08333),Uganda,6,6,6
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.2,32.96667,POINT(32.96667 2.2),Uganda,10,12,10
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.29701,32.74402,POINT(32.74402 2.29701),Uganda,18,18,18
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.33333,33.1,POINT(33.1 2.33333),Uganda,2,2,2
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.34624,32.08716,POINT(32.08716 2.34624),Uganda,4,4,4
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.34624,32.08716,POINT(32.08716 2.34624),Uganda,3,3,3
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.38129,32.50072,POINT(32.50072 2.38129),Uganda,16,16,16
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.452778,33.199444,POINT(33.199444 2.452778),Uganda,7,7,7
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.53492,31.83976,POINT(31.83976 2.53492),Uganda,1,1,1
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.566667,31.8,POINT(31.8 2.566667),Uganda,2,18,2
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.59757,31.98528,POINT(31.98528 2.59757),Uganda,11,11,11
2002,1,314,Uganda:Government,Government of Uganda - LRA,Government of Uganda,LRA,2.60028,33.149566,POINT(33.149566 2.60028),Uganda,14,14,14
