,country,Corruption.Perception.Index_mu,Corruption.Perception.Index_med,Corruption.Perception.Index_min,Corruption.Perception.Index_max,Voice.Accountability_mu,Voice.Accountability_med,Voice.Accountability_min,Voice.Accountability_max,Political.Stability_mu,Political.Stability_med,Political.Stability_min,Political.Stability_max,Government.Effectiveness_mu,Government.Effectiveness_med,Government.Effectiveness_min,Government.Effectiveness_max,Rule.Law_mu,Rule.Law_med,Rule.Law_min,Rule.Law_max,Corruption.Control_mu,Corruption.Control_med,Corruption.Control_min,Corruption.Control_max,Reg.Quality_mu,Reg.Quality_med,Reg.Quality_min,Reg.Quality_max
1,Angola,1.9552,2.0000,1.7000,2.2000,-1.1744,-1.1400,-1.2800,-1.0700,-0.6277,-0.3900,-1.6200,-0.2200,-1.1677,-1.1500,-1.3700,-0.9700,-1.3500,-1.3000,-1.6100,-1.1000,-1.3108,-1.3200,-1.4500,-1.1400,-1.1246,-1.0600,-1.4900,-0.9600
2,Benin,3.0377,3.0000,2.5000,3.5455,0.1932,0.2300,-0.0047,0.3400,0.3708,0.3300,0.0500,0.7400,-0.5446,-0.5400,-0.7200,-0.3600,-0.5869,-0.5900,-0.7100,-0.3400,-0.6946,-0.6700,-0.9700,-0.4700,-0.4308,-0.4200,-0.5700,-0.3200
3,Botswana,5.8273,5.8000,5.4000,6.4000,0.5200,0.4800,0.4000,0.7300,0.9892,0.9800,0.7900,1.0800,0.5269,0.5200,0.3200,0.7300,0.6238,0.6400,0.5000,0.6700,0.9415,0.9200,0.6100,1.2500,0.5946,0.6400,0.4400,0.7900
4,Burkina Faso,3.2976,3.3000,2.9000,3.6000,-0.3615,-0.3400,-0.4800,-0.2800,-0.2215,-0.1100,-0.8000,0.2900,-0.6123,-0.6000,-0.7400,-0.4700,-0.4417,-0.4417,-0.6800,-0.1800,-0.3146,-0.3500,-0.5800,-0.0200,-0.2308,-0.1800,-0.4200,-0.0900
5,Cameroon,2.2531,2.2727,1.8000,2.5000,-1.0562,-1.0500,-1.1700,-0.9900,-0.5262,-0.5300,-0.9400,-0.1800,-0.8254,-0.8300,-0.9300,-0.6500,-1.1000,-1.0900,-1.2500,-0.8700,-1.0531,-1.0700,-1.2700,-0.8600,-0.8315,-0.8300,-0.9500,-0.6800
6,Central Africa Republic,2.1733,2.2000,2.0000,2.4000,-1.1677,-1.1100,-1.5300,-0.9500,-1.8608,-1.8400,-2.6700,-1.4100,-1.5108,-1.4600,-1.8400,-1.2800,-1.4738,-1.4800,-1.8300,-1.1300,-1.0385,-1.0000,-1.3300,-0.8400,-1.2062,-1.1900,-1.4100,-1.0900
7,Chad,1.7985,1.8000,1.6000,2.0000,-1.3146,-1.3600,-1.4600,-0.9700,-1.5254,-1.5100,-1.9700,-1.0400,-1.3554,-1.4200,-1.5900,-0.9100,-1.3908,-1.4500,-1.6000,-1.0000,-1.2815,-1.2800,-1.4500,-0.9400,-1.0423,-1.0600,-1.1700,-0.8300
8,Congo Republic,2.1164,2.1000,1.9000,2.3636,-1.0754,-1.1000,-1.2500,-0.7800,-0.7538,-0.7100,-1.6600,-0.2800,-1.2385,-1.2300,-1.3400,-1.1200,-1.1900,-1.1800,-1.4600,-1.0700,-1.0700,-1.0900,-1.2200,-0.8400,-1.2154,-1.2600,-1.3800,-0.9700
9,Cote d'Ivoire,2.2615,2.1000,1.9000,2.9091,-1.1123,-1.2000,-1.3800,-0.5200,-1.6623,-1.8200,-2.3000,-1.0100,-1.1154,-1.1300,-1.3400,-0.7800,-1.2777,-1.3800,-1.5000,-0.6100,-0.9915,-1.0700,-1.2400,-0.4100,-0.8131,-0.8500,-0.9600,-0.4500
10,Dem. Republic of Congo,1.9582,2.0000,1.7000,2.1000,-1.4800,-1.4700,-1.7300,-1.2600,-2.1808,-2.2100,-2.3900,-1.9900,-1.6369,-1.6600,-1.7700,-1.4400,-1.6200,-1.6100,-1.7300,-1.4300,-1.3508,-1.3600,-1.4800,-1.1700,-1.4238,-1.5000,-1.6200,-1.2000
11,Equatorial Guinea,1.8606,1.8606,1.7000,2.1000,-1.8192,-1.8700,-1.9800,-1.6400,0.0031,0.1200,-0.6000,0.3900,-1.5515,-1.6000,-1.7200,-1.2400,-1.3238,-1.3200,-1.4500,-1.2000,-1.5600,-1.5400,-1.8400,-1.3400,-1.3823,-1.3800,-1.4900,-1.2800
12,Eritrea,2.4565,2.6000,1.6364,2.9000,-2.0554,-2.1200,-2.1800,-1.7600,-0.7500,-0.7600,-1.0200,-0.4100,-1.2738,-1.3100,-1.6200,-0.8100,-1.0746,-1.2200,-1.4600,-0.3900,-0.4008,-0.4300,-0.8600,0.0600,-1.9908,-2.1200,-2.2600,-1.1100
13,Ethiopia,2.7000,2.7000,2.2000,3.5000,-1.2323,-1.2600,-1.3300,-1.0700,-1.5169,-1.5400,-1.7600,-1.2400,-0.5846,-0.4900,-0.9300,-0.3700,-0.7069,-0.7000,-0.9000,-0.4200,-0.6485,-0.6800,-0.7700,-0.4300,-1.0123,-0.9800,-1.2400,-0.8400
