,country,NGDP_RPCH_mu,NGDP_RPCH_min,NGDP_RPCH_max,NGDP_RPCH_med,NGDPD_mu,NGDPD_min,NGDPD_max,NGDPD_med,NGDPDPC_mu,NGDPDPC_min,NGDPDPC_max,NGDPDPC_med,NGSD_NGDP_mu,NGSD_NGDP_min,NGSD_NGDP_max,NGSD_NGDP_med,PCPI_mu,PCPI_min,PCPI_max,PCPI_med,PCPIPCH_mu,PCPIPCH_min,PCPIPCH_max,PCPIPCH_med,GGX_NGDP_mu,GGX_NGDP_min,GGX_NGDP_max,GGX_NGDP_med,GGXCNL_NGDP_mu,GGXCNL_NGDP_min,GGXCNL_NGDP_max,GGXCNL_NGDP_med,GGXWDG_NGDP_mu,GGXWDG_NGDP_min,GGXWDG_NGDP_max,GGXWDG_NGDP_med,BCA_mu,BCA_min,BCA_max,BCA_med
1,Angola,10.1525,2.4130,22.5930,6.8000,6075.4705,544.0120,12620.9960,5988.6750,3158.8539,726.3770,5272.6220,3589.1940,20.8207,5.1990,40.9420,23.5340,75.6770,14.2720,135.9240,71.4720,29.2171,7.2960,108.8930,13.4840,40.6210,34.7360,55.3940,40.1590,1.5387,-7.3550,11.8110,1.4190,37.2302,16.4260,64.3800,38.0430,5.1957,-7.5720,13.8530,7.1940
2,Benin,4.0602,2.5520,5.6450,3.9510,5.9020,2.8170,8.7010,6.5700,642.6098,379.9420,821.5130,690.8690,10.5267,8.8570,12.5900,10.2000,97.4558,81.6780,113.5930,99.5070,2.7069,-0.9960,7.4030,2.1790,21.6428,19.4260,25.0380,21.3810,-1.4870,-4.9520,0.3290,-1.4360,30.3138,12.4960,45.7530,30.2250,-0.5246,-1.3210,-0.2060,-0.5610
3,Botswana,4.6555,-7.8400,8.6820,4.9420,11.4368,5.4560,15.7890,10.9420,5793.1259,3017.6950,7550.7240,5676.7790,38.4615,26.6390,47.9960,38.1860,198.2839,115.1190,291.2670,196.4810,8.0629,3.9260,12.6230,8.0260,38.8921,32.2940,50.8990,36.4380,0.2885,-13.4890,12.9570,0.3900,12.9695,5.9830,20.0680,11.6930,0.6246,-1.1390,2.7030,0.3510
4,Burkina Faso,5.8918,2.9620,8.6650,6.2520,7.9140,3.2180,12.5030,8.3910,521.1868,261.6860,720.3910,555.8740,9.9218,4.6490,16.0310,8.9980,95.6781,81.8370,107.5200,100.0000,2.3253,-0.6080,10.6680,2.0400,23.4005,19.8000,27.8340,22.8330,-2.2190,-5.6400,16.1390,-3.9090,33.0299,22.5990,48.6690,28.7690,-0.5149,-0.9630,-0.1600,-0.5310
5,Cameroon,3.6969,1.9320,5.5820,3.7020,21.5565,10.8880,31.6690,23.4320,1090.4042,662.9850,1404.7910,1158.7800,16.4105,13.3640,17.8700,17.0100,205.4272,179.7830,236.3170,206.7170,2.3541,0.2500,5.3380,2.0500,17.7425,14.5510,22.6890,17.4930,2.3649,-5.1350,32.8320,-0.0480,28.3165,9.7150,64.2950,15.8630,-0.5475,-1.3330,0.2820,-0.5650
6,Central Africa Republic,-0.9923,-36.0470,4.7710,2.4680,1.6521,0.9630,2.1960,1.6980,389.7757,255.6490,495.0350,379.9250,5.5109,2.7850,10.3720,4.6200,131.2124,106.2290,180.9490,131.1900,4.4474,-2.2440,14.9580,3.5220,15.5453,13.1450,18.6020,15.7000,-0.8251,-6.2980,9.0360,-1.2560,68.8065,30.4970,108.7710,79.0730,-0.1001,-0.2020,-0.0160,-0.1000
7,Chad,8.5438,0.0830,33.6290,6.8930,8.8383,2.2570,13.9470,9.2780,879.6562,287.2990,1236.0420,930.2280,10.0547,-47.3280,30.4990,21.7490,112.3778,96.7800,130.5670,108.3680,2.3357,-7.4400,10.1030,1.8910,19.3392,11.5500,24.4100,19.3430,-1.6724,-9.2180,3.6270,-2.0720,26.9318,17.9090,50.3090,24.9830,-0.6512,-1.8980,0.7080,-0.8500
8,Congo Republic,4.5871,-1.5820,8.7430,4.5820,9.3903,3.0200,14.4330,9.6180,2480.4553,982.2320,3629.4230,2560.9750,23.0265,8.4020,30.8640,24.0410,110.8825,89.3190,135.7660,109.8350,3.5182,0.9120,6.0200,3.6700,29.0324,21.4400,41.0230,27.6750,9.3863,-0.3380,23.3810,8.5270,91.4360,22.8880,204.3720,68.0630,-0.1980,-1.3570,0.8970,-0.1440
9,Cote d'Ivoire,2.5757,-4.3870,10.6740,1.7650,22.3665,12.3900,33.9560,24.3390,1125.5461,750.8630,1494.7220,1207.8380,15.0787,11.9880,20.9550,14.7880,127.4708,107.5690,145.7400,130.0000,2.6154,0.4490,6.3150,2.4660,20.3658,17.5200,24.5990,19.9950,-1.8552,-5.3850,-0.3990,-1.5060,68.4394,36.4140,93.2510,73.9970,0.3016,-1.5280,2.6650,0.2940
10,Dem. Republic of Congo,6.2092,2.8550,9.0930,6.2590,18.9371,8.7190,34.6770,18.3150,273.6859,156.2960,437.2860,267.7440,8.9911,4.5500,16.7990,9.0950,1615.0136,573.0470,2759.4340,1272.2140,15.4294,0.8070,46.2210,15.5380,11.9919,5.1990,17.8520,11.7410,0.3187,-5.0400,3.1190,-0.1370,71.7034,18.8810,136.0400,86.9530,-0.9631,-3.5130,0.5270,-0.3890
