Row Labels,Average of Primary.ed.enrollment.z,Average of Deprivation.Intensity.z
Angola,-0.006,-0.143
2002,-0.006,-0.048
2003,-0.006,-0.187
2004,-0.006,-0.221
2005,-0.006,-0.045
2006,-0.006,-0.076
2007,-0.006,-0.036
2008,-0.006,-0.046
2009,-0.006,-0.252
2010,-0.006,-0.256
2011,-0.006,-0.168
2012,-0.006,-0.156
2013,-0.006,-0.155
2014,-0.006,-0.207
Benin,0.847,0.259
2002,0.847,0.295
2003,0.847,0.307
2004,0.847,0.222
2005,0.847,0.254
2006,0.847,0.254
2007,0.847,0.254
2008,0.847,0.254
2009,0.847,0.254
2010,0.847,0.254
2011,0.847,0.254
2012,0.847,0.254
2013,0.847,0.254
2014,0.847,0.254
Botswana,0.720,-1.316
2002,0.720,-1.079
2003,0.720,-1.359
2004,0.720,-1.397
2005,0.720,-1.340
2006,0.720,-1.313
2007,0.720,-1.207
2008,0.720,-1.319
2009,0.720,-1.427
2010,0.720,-1.292
2011,0.720,-1.308
2012,0.720,-1.368
2013,0.720,-1.408
2014,0.720,-1.287
Burkina Faso,-0.756,1.593
2002,-0.756,1.669
2003,-0.756,1.557
2004,-0.756,1.513
2005,-0.756,1.597
2006,-0.756,1.597
2007,-0.756,1.597
2008,-0.756,1.597
2009,-0.756,1.597
2010,-0.756,1.597
2011,-0.756,1.597
2012,-0.756,1.597
2013,-0.756,1.597
2014,-0.756,1.597
Cameroon,1.043,0.387
2002,1.043,0.438
2003,1.043,0.391
2004,1.043,0.321
2005,1.043,0.389
2006,1.043,0.389
2007,1.043,0.389
2008,1.043,0.389
2009,1.043,0.389
2010,1.043,0.389
2011,1.043,0.389
2012,1.043,0.389
2013,1.043,0.389
2014,1.043,0.389
Central Africa Republic,-0.421,0.659
2002,-0.421,0.860
2003,-0.421,0.675
2004,-0.421,0.628
2005,-0.421,0.640
2006,-0.421,0.640
2007,-0.421,0.640
2008,-0.421,0.640
2009,-0.421,0.640
2010,-0.421,0.640
2011,-0.421,0.640
2012,-0.421,0.640
2013,-0.421,0.640
2014,-0.421,0.640
Chad,-0.811,1.820
2002,-0.811,1.775
2003,-0.811,1.825
2004,-0.811,1.745
2005,-0.811,1.832
2006,-0.811,1.832
2007,-0.811,1.832
2008,-0.811,1.832
2009,-0.811,1.832
2010,-0.811,1.832
2011,-0.811,1.832
2012,-0.811,1.832
2013,-0.811,1.832
2014,-0.811,1.832
Congo Republic,-0.130,-1.174
2002,-0.190,-1.052
2003,-0.080,-1.233
2004,-0.234,-1.079
2005,-0.229,-1.189
2006,-0.250,-1.189
2007,-0.077,-1.189
2008,-0.048,-1.189
2009,-0.118,-1.189
2010,-0.091,-1.189
2011,-0.176,-1.189
2012,-0.119,-1.189
2013,-0.053,-1.189
2014,-0.020,-1.189
Cote d'Ivoire,-0.859,-0.001
2002,-0.859,0.110
2003,-0.859,0.067
2004,-0.859,-0.044
2005,-0.859,-0.014
2006,-0.859,-0.014
2007,-0.859,-0.014
2008,-0.859,-0.014
2009,-0.859,-0.014
2010,-0.859,-0.014
2011,-0.859,-0.014
2012,-0.859,-0.014
2013,-0.859,-0.014
2014,-0.859,-0.014
Dem. Republic of Congo,-2.610,-0.127
2002,-2.610,0.095
2003,-2.610,-0.032
2004,-2.610,-0.054
2005,-2.610,-0.165
2006,-2.610,-0.165
2007,-2.610,-0.165
2008,-2.610,-0.165
2009,-2.610,-0.165
2010,-2.610,-0.165
2011,-2.610,-0.165
2012,-2.610,-0.165
2013,-2.610,-0.165
2014,-2.610,-0.165
Equatorial Guinea,-0.006,0.040
2002,-0.006,0.161
