Country,Indicator,Year,Value
BEN,NGDP_R,1980,920.693
BEN,NGDP_R,1981,938.451
BEN,NGDP_R,1982,954.237
BEN,NGDP_R,1983,935.152
BEN,NGDP_R,1984,938.892
BEN,NGDP_R,1985,979.521
BEN,NGDP_R,1986,1006.434
BEN,NGDP_R,1987,985.557
BEN,NGDP_R,1988,1019.338
BEN,NGDP_R,1989,990.296
BEN,NGDP_R,1990,1079.187
BEN,NGDP_R,1991,1124.791
BEN,NGDP_R,1992,1158.059
BEN,NGDP_R,1993,1225.645
BEN,NGDP_R,1994,1250.408
BEN,NGDP_R,1995,1325.998
BEN,NGDP_R,1996,1383.338
BEN,NGDP_R,1997,1462.668
BEN,NGDP_R,1998,1520.604
BEN,NGDP_R,1999,1601.827
BEN,NGDP_R,2000,1679.702
BEN,NGDP_R,2001,1783.778
BEN,NGDP_R,2002,1863.011
BEN,NGDP_R,2003,1936.614
BEN,NGDP_R,2004,1996.309
BEN,NGDP_R,2005,2053.508
BEN,NGDP_R,2006,2130.559
BEN,NGDP_R,2007,2229.127
BEN,NGDP_R,2008,2340.994
BEN,NGDP_R,2009,2403.215
BEN,NGDP_R,2010,2464.551
BEN,NGDP_R,2011,2546.504
BEN,NGDP_R,2012,2683.819
BEN,NGDP_R,2013,2835.322
BEN,NGDP_R,2014,2990.544
BEN,NGDP_R,2015,3155.024
BEN,NGDP_R,2016,3325.396
BEN,NGDP_R,2017,3508.292
BEN,NGDP_R,2018,3704.678
BEN,NGDP_R,2019,3915.844
BEN,NGDP_R,2020,4144.138
BEN,NGDP_RPCH,1980,9.255
BEN,NGDP_RPCH,1981,1.929
BEN,NGDP_RPCH,1982,1.682
BEN,NGDP_RPCH,1983,-2
BEN,NGDP_RPCH,1984,0.4
BEN,NGDP_RPCH,1985,4.327
BEN,NGDP_RPCH,1986,2.748
BEN,NGDP_RPCH,1987,-2.074
BEN,NGDP_RPCH,1988,3.428
BEN,NGDP_RPCH,1989,-2.849
BEN,NGDP_RPCH,1990,8.976
BEN,NGDP_RPCH,1991,4.226
BEN,NGDP_RPCH,1992,2.958
BEN,NGDP_RPCH,1993,5.836
BEN,NGDP_RPCH,1994,2.02
BEN,NGDP_RPCH,1995,6.045
BEN,NGDP_RPCH,1996,4.324
BEN,NGDP_RPCH,1997,5.735
BEN,NGDP_RPCH,1998,3.961
BEN,NGDP_RPCH,1999,5.341
BEN,NGDP_RPCH,2000,4.862
BEN,NGDP_RPCH,2001,6.196
BEN,NGDP_RPCH,2002,4.442
BEN,NGDP_RPCH,2003,3.951
BEN,NGDP_RPCH,2004,3.082
BEN,NGDP_RPCH,2005,2.865
BEN,NGDP_RPCH,2006,3.752
BEN,NGDP_RPCH,2007,4.626
BEN,NGDP_RPCH,2008,5.018
BEN,NGDP_RPCH,2009,2.658
BEN,NGDP_RPCH,2010,2.552
BEN,NGDP_RPCH,2011,3.325
BEN,NGDP_RPCH,2012,5.392
BEN,NGDP_RPCH,2013,5.645
BEN,NGDP_RPCH,2014,5.475
BEN,NGDP_RPCH,2015,5.5
BEN,NGDP_RPCH,2016,5.4
BEN,NGDP_RPCH,2017,5.5
BEN,NGDP_RPCH,2018,5.598
BEN,NGDP_RPCH,2019,5.7
BEN,NGDP_RPCH,2020,5.83
BEN,NGDP,1980,379.049
BEN,NGDP,1981,327.507
BEN,NGDP,1982,379.347
BEN,NGDP,1983,416.634
BEN,NGDP,1984,465.5
BEN,NGDP,1985,499.044
BEN,NGDP,1986,491.37
BEN,NGDP,1987,498.807
BEN,NGDP,1988,514.598
BEN,NGDP,1989,509.103
BEN,NGDP,1990,533.63
BEN,NGDP,1991,560.388
BEN,NGDP,1992,594.416
BEN,NGDP,1993,644.07
BEN,NGDP,1994,887.259
BEN,NGDP,1995,1082.966
BEN,NGDP,1996,1207.835
BEN,NGDP,1997,1323.938
BEN,NGDP,1998,1448.386
BEN,NGDP,1999,1532.409
BEN,NGDP,2000,1679.702
BEN,NGDP,2001,1832.2
BEN,NGDP,2002,1956.7
BEN,NGDP,2003,2067.9
BEN,NGDP,2004,2140.013
BEN,NGDP,2005,2298.715
BEN,NGDP,2006,2460.244
BEN,NGDP,2007,2638.975
BEN,NGDP,2008,2970.544
BEN,NGDP,2009,3109.134
BEN,NGDP,2010,3247.927
BEN,NGDP,2011,3443.3
BEN,NGDP,2012,3851.05
BEN,NGDP,2013,4104.2
BEN,NGDP,2014,4294.329
BEN,NGDP,2015,4555.631
BEN,NGDP,2016,4890.186
BEN,NGDP,2017,5271.454
BEN,NGDP,2018,5683.022
BEN,NGDP,2019,6131.963
BEN,NGDP,2020,6627.439
BEN,NGDPD,1980,1.685
BEN,NGDPD,1981,1.14
BEN,NGDPD,1982,1.128
BEN,NGDPD,1983,0.999
BEN,NGDPD,1984,1.065
BEN,NGDPD,1985,1.111
BEN,NGDPD,1986,1.419
BEN,NGDPD,1987,1.66
BEN,NGDPD,1988,1.728
BEN,NGDPD,1989,1.596
BEN,NGDPD,1990,1.96
BEN,NGDPD,1991,1.986
BEN,NGDPD,1992,2.246
BEN,NGDPD,1993,2.275
BEN,NGDPD,1994,1.598
BEN,NGDPD,1995,2.17
BEN,NGDPD,1996,2.361
BEN,NGDPD,1997,2.268
BEN,NGDPD,1998,2.455
BEN,NGDPD,1999,2.489
BEN,NGDPD,2000,2.366
BEN,NGDPD,2001,2.502
BEN,NGDPD,2002,2.817
BEN,NGDPD,2003,3.565
BEN,NGDPD,2004,4.056
BEN,NGDPD,2005,4.366
BEN,NGDPD,2006,4.709
BEN,NGDPD,2007,5.514
BEN,NGDPD,2008,6.665
BEN,NGDPD,2009,6.602
BEN,NGDPD,2010,6.57
BEN,NGDPD,2011,7.304
BEN,NGDPD,2012,7.547
BEN,NGDPD,2013,8.31
BEN,NGDPD,2014,8.701
BEN,NGDPD,2015,8.332
BEN,NGDPD,2016,8.987
BEN,NGDPD,2017,9.789
BEN,NGDPD,2018,10.682
BEN,NGDPD,2019,11.644
